,sltw,slth,sltv,sltfp,v
0,200.0,200.0,6.0,0.0,6.1458904136862795
1,336.0,280.0,3.0,0.0,6.058494304335547
2,250.0,250.0,1.0,0.0,6.083927993077077
3,250.0,250.0,6.0,5.0,6.000379013632919
4,728.0,90.0,1.0,0.0,6.120107891621717
5,728.0,90.0,6.0,177.0,6.1564200468728245
6,336.0,280.0,6.0,5.0,6.088047587101593
7,200.0,200.0,6.0,5.0,6.050327753527257
8,300.0,250.0,1.0,5.0,6.03069241493588
9,120.0,600.0,6.0,180.0,6.181999817986432
10,300.0,250.0,6.0,4.0,6.029496509216843
11,120.0,600.0,6.0,180.0,6.0745869753530926
12,160.0,600.0,6.0,5.0,6.187273484948491
13,200.0,200.0,6.0,13.0,6.07328171501749
14,300.0,250.0,6.0,5.0,6.117348154696067
15,250.0,250.0,3.0,0.0,6.143610267902565
16,620.0,60.0,1.0,0.0,6.050213441184861
17,120.0,600.0,6.0,180.0,6.0907971463625925
18,300.0,250.0,1.0,5.0,6.106243764664005
19,200.0,200.0,1.0,4.0,6.103997719334185
20,300.0,250.0,6.0,63.0,6.046014914115301
21,250.0,250.0,1.0,5.0,6.148412947526581
22,728.0,90.0,6.0,103.0,6.102850598533079
23,620.0,60.0,3.0,0.0,6.170982197234554
24,300.0,250.0,6.0,5.0,6.171457365673716
25,250.0,250.0,6.0,5.0,6.10923529061885
26,300.0,250.0,6.0,5.0,6.055583877138622
27,728.0,90.0,6.0,4.0,6.094265277906908
28,200.0,200.0,6.0,5.0,6.16976779341412
29,336.0,280.0,6.0,5.0,6.045496258787894
30,300.0,250.0,6.0,0.0,6.142242058517015
31,250.0,250.0,6.0,16.0,6.023490753244721
32,300.0,250.0,1.0,5.0,6.140981235484731
33,728.0,90.0,1.0,5.0,6.149709001955848
34,728.0,90.0,6.0,52.0,6.05335686542414
35,728.0,90.0,1.0,5.0,6.115368412599491
36,728.0,90.0,6.0,133.0,6.079335705293279
37,160.0,600.0,6.0,5.0,6.139124417534721
38,120.0,600.0,6.0,180.0,6.155085029540329
39,336.0,280.0,6.0,180.0,6.166585919785399
40,120.0,600.0,6.0,180.0,6.117108310203545
41,620.0,60.0,3.0,0.0,6.079985537047405
42,200.0,200.0,6.0,4.0,6.110269158118704
43,300.0,250.0,6.0,5.0,6.036170717154119
44,120.0,600.0,6.0,180.0,6.0227263549555055
45,300.0,250.0,6.0,4.0,6.062657316503201
46,620.0,60.0,2.0,0.0,6.036090046423837
47,300.0,250.0,6.0,5.0,6.0575210845856935
48,120.0,600.0,6.0,180.0,6.096401248661095
49,950.0,90.0,1.0,0.0,6.035483945291522
50,300.0,250.0,1.0,0.0,6.132779959781333
51,160.0,600.0,6.0,148.0,6.160544425028456
